,Title,Intensity figure,Metric numerator (Gross global combined Scope 1 and 2 emissions),Metric denominator,Metric denominator: Unit total,Scope 2 figure used,% change from previous year,Direction of change,Reason for change
98,Hyundai Motor Co - Climate Change 2018,2.701,2602842,"Other, please specify (revenue total (per one hundred million))",963760.79,Location-based,5.23,Decreased,"Through operating enterprise-wide GHG response consultative group, PM Reporting Committee, and product committee (1) Along with planning greenhouse gas emissions and checking the performance, enhancing energy assessment/promotion activities, Improving efficiency in using energy multi-cost processes, expanding investment of energy reduction, (2) developing eco-friendly products and improving efficiency of vehicles production, improving fuel-efficiency, etc. The company performed active reduction activities. HMC\'s sales increased compared to 2016 due to improved sales of eco-friendly vehicles, thereby its emissions reduced by won(KRW) unit. 2016 GHG emissions : 2,668,670 tCO2eq, 2016 sales(KRW) : 936,490.24 million KRW, intensity figure: 2.850 2017 GHG emissions : 2,602,842 tCO2eq, 2017 sales(KRW) : 963,760.79 million KRW, intensity figure: 2.701 Rate of change compared to last year : (2017 emissions in KRW unit - 2016 emissions in KRW unit) / 2016 emissions in won unit *100 = 5.23%"
99,SUBARU CORPORATION - Climate Change 2019,21.48,678839,unit total revenue,31605,Market-based,1.17,Increased,\xe5\x9b\xbd\xe5\x86\x85\xe3\x81\xaf\xe3\x80\x81\xe3\x83\xa9\xe3\x82\xa4\xe3\x83\xb3\xe5\x81\x9c\xe6\xad\xa2\xe7\xad\x89\xe3\x81\x8c\xe6\x9c\x89\xe3\x81\xa3\xe3\x81\x9f\xe7\x82\xba\xe3\x80\x81\xe5\x8a\xb9\xe7\x8e\x87\xe3\x81\x8c\xe6\x82\xaa\xe5\x8c\x96\xe3\x81\x97\xe3\x81\x9f\xe4\xba\x8b\xe3\x80\x81\xe4\xb8\xa6\xe3\x81\xb3\xe3\x81\xab\xe6\xb5\xb7\xe5\xa4\x96\xe3\x81\xaf\xe7\x94\x9f\xe7\x94\xa3\xe6\x95\xb0\xe9\x87\x8f\xe3\x81\x8c\xe5\xa2\x97\xe5\x8a\xa0\xe3\x81\x97\xe3\x81\x9f\xe7\x82\xba\xe3\x80\x82
100,Ferrari - Climate Change 2019,0.0000268,91773,unit total revenue,3420000000,Market-based,0.99,Decreased,"Ferrari managed to decouple its economic growth from its environmental impact, in other words we keep on growing our business activities while at the same time maintaining almost stable our CO2 emissions."
101,Ferrari - Climate Change 2019,82.4,91773,"Other, please specify (Ebitda, Mln \xe2\x82\xac)",1114,Market-based,7.84,Decreased,"Ferrari managed to decouple its economic growth from its environmental impact, in other words we keep on growing our business activities while at the same time maintaining almost stable our CO2 emissions."
102,Ferrari - Climate Change 2019,9.92,91773,vehicle produced,9251,Market-based,10.04,Decreased,"Ferrari managed to decouple its economic growth from its environmental impact, in other words we keep on growing our business activities while at the same time maintaining almost stable our CO2 emissions."
103,Mitsubishi Motors Corporation - Climate Change 2018,0.246,539919,"Other, please specify (Unit total revenue (million yen))",2192389,Market-based,14,Decreased,"Due to increased production and sales, operation efficiency has become better than previous year."
104,Mitsubishi Motors Corporation - Climate Change 2018,0.468187,539919,vehicle produced,1153211,Market-based,25,Decreased,"Due to increased production and sales, operation efficiency has become better than previous year."
105,BMW AG - Climate Change 2018,0.0000115,1135983,unit total revenue,98678000000,Market-based,24.3,Decreased,"Increased CO2 efficiency due to emission reduction activities caused the decrease in CO2 emissions / revenue by 24.3% (2016: 0.0000152). The intensity figure is calculated by dividing emissions from production, administration and company owned vehicles and planes by revenue. Use of environmentally friendly and economically sustainable energy resources and purchase of an increased amount of electricity produced from regenerative sources when compared to 2016 helped to reduce the CO2 emissions in production and administration in 2017 by 22.3%, despite a significant increase in output (e.g. 3.1% increase in vehicle production). At the same time revenue has increased by 4.8% when compared to 2016."
106,Toyota Motor Corporation - Climate Change 2018,0.285176822,7870080,"Other, please specify (unit total revenue/ million)",27597193,Location-based,0.19,Decreased,"Sales increase is a factor, but Toyota implemented emission reduction measures: - introduce more efficient air conditioning and freezing machines - consolidate the process and equipment"
107,Toyota Motor Corporation - Climate Change 2018,0.0007470744,7870080,vehicle produced,10534533,Location-based,0.5,Increased,The increase came from the increase of the production volume.
108,"Honda Motor Co., Ltd. - Climate Change 2020",3e-7,5030000,unit total revenue,14900000000000,Market-based,2,Decreased,"Our revenue decreased about 6% from the previous year, and unit sales decreased about 11% in Automobiles, 5% in Motorcycles, and 10% in Power Products. Though sales of all products decrease 6% year-on-year, and result of our global activities to reduce emissions, we increased efficiency and decrease total GHG emissions by approximately 8%. Honda has implemented measures to reduce GHG emissions, such as measures to streamline its productions, conversion to low-carbon energy, and introducing renewable energy, and will continue these emissions reduction activities in the future as well. Example of our emission reduction activities is, replacing the chilled and hot water generator, which serves as the heat source for air conditioning, with a heat pump chiller, and saved LNG consumption by 39,000 GJ/year. (One of the initiatives explained in C4.3b)"
109,"Honda Motor Co., Ltd. - Climate Change 2020",4e-7,5030000,"Other, please specify (Adjusted sales of non-financial services)",12300000000000,Market-based,1,Increased,"Except for sales in the financial services business, which is less correlated with greenhouse gas emissions, we established a basic unit indicator that is more correlated with greenhouse gas emissions, and confirmed the changes. As a result, net sales excluding the financial services business and the number of automobiles produced decreased by 10% from the previous year, total GHG emissions decreased by about 8% compared to the previous year as a result of global activities to reduce GHG emissions. This was largely attributable to our ongoing activities to reduce GHG emissions, such as measures to improve the factor of production operations, conversion to low-carbon energy, and the introduction of renewable energy. Honda will continue to promote activities to reduce GHG emissions. Example of our emission reduction activities is, replacing the chilled and hot water generator, which serves as the heat source for air conditioning, with a heat pump chiller, and saved LNG consumption by 39,000 GJ/year. (One of the initiatives explained in C4.3b)"
110,Toyota Motor Corporation - Climate Change 2019,2.824e-7,7870079.81,unit total revenue,27597193000000,Location-based,1.91,Increased,"Although Toyota\xe2\x80\x99s net revenue decreased, Toyota made GHG reduction efforts to reduce electricity consumption which occupies mostly Scope 2 emissions by replacement with LED lighting, air-conditioning control, and upgrade facilities with highly efficient equipment. Consequently, its GHG emission intensity was resulted in a slight increase."
111,Toyota Motor Corporation - Climate Change 2019,0.7402513754,7870079.81,vehicle produced,10527079,Location-based,0.91,Decreased,"Although Toyota\xe2\x80\x99s net revenue decreased, Toyota made GHG reduction efforts to reduce electricity consumption which occupies mostly Scope 2 emissions by replacement with LED lighting, air-conditioning control, and upgrade facilities with highly efficient equipment. Consequently, its GHG emission intensity was resulted in a slight increase."
112,BMW AG - Climate Change 2019,0.0000115,1120325,unit total revenue,97480000000,Market-based,0.9,Decreased,"Increased CO2 efficiency due to emission reduction activities caused the decrease in CO2 emissions / revenue by 0.9% when compared to the 2017 figure of 0.0000116 although revenue has decreased by 0.8% when compared to 2017 (Remark: The 2017 value is changed compared to the one given in the last years CDP response. In the Annual Report 2018 total revenue of 2017 was adjusted to a value of 98.282.000.000 \xe2\x82\xac due to first-time application of IFRS 15. Please see footnote 1 on p.5 of the BMW Group Annual Report 2018). The intensity figure is calculated by dividing emissions from production, administration and company owned vehicles and planes by revenue. In particular increase in energy efficiency as well as use of environmentally friendly and economically sustainable energy resources and purchase of electricity produced from regenerative sources helped to reduce the CO2 emissions in production and administration in 2018 by 1.4%."
113,BMW AG - Climate Change 2019,0.4,905072,vehicle produced,2248249,Market-based,2.4,Decreased,Increased CO2 efficiency due to emission reduction activities caused the decrease in CO2 emissions / vehicles produced in the BMW Group production network without volumes of partner plants by 2.4% when compared to the 2017 figure of 0.41 although the volume of vehicles produced has decreased by 0.9%. The intensity figure is calculated by dividing emissions from BMW Group production sites by the number of vehicles produced. In particular increase in energy efficiency as well as use of environmentally friendly and economically sustainable energy resources and purchase of electricity produced from regenerative sources helped to reduce the CO2 emissions in production in 2018 by 2.4%.
114,Fiat Chrysler Automobiles NV - Climate Change 2020,0.0000316,3417470,unit total revenue,108187000000,Market-based,3.1,Decreased,"In 2019, FCA revenues decreased by 2.0% (from approximately \xe2\x82\xac110.4 billion in 2018 to \xe2\x82\xac108.2 billion in 2019), primarily due to lower volumes of Maserati and EMEA region. Total GHG emissions decreased by 5.1% (from around 3.6 to 3.4 million tons of CO2) both in Scope 1 and Scope 2, thanks to an additional impact of emission reduction activities (around 4,200 projects) as reported in C4.3b. Please note that FCA published in the 2019 Sustainability Report new restated data for 2018 due to use of residual mix to calculate Market-based figures. If applied to figures reported in past years this restatement would lead to higher emission reduction (-8.6%), and therefore the change from previous year of the Intensity figure would have reached a decrease of 6.7%"
115,Mitsubishi Motors Corporation - Climate Change 2019,0.206,517735,"Other, please specify (Unit total revenue (million yen))",2514594,Market-based,16,Decreased,"Due to increased production and sales, operation efficiency has become better than previous year."
116,Mitsubishi Motors Corporation - Climate Change 2019,0.439,517735,vehicle produced,1179075,Market-based,6,Decreased,"Due to increased production and sales, operation efficiency has become better than previous year."
117,SUBARU CORPORATION - Climate Change 2018,20.31,691589.99,unit total revenue,3405200000000,Market-based,0.01,Decreased,\xe5\xa3\xb2\xe4\xb8\x8a\xe9\xab\x98\xe5\xa2\x97\xe5\x8a\xa0\xe3\x81\xab\xe5\x8a\xa0\xe3\x81\x88\xe3\x80\x81\xe7\x9c\x81\xe3\x82\xa8\xe3\x83\x8d\xe8\xa8\xad\xe5\x82\x99\xe5\xb0\x8e\xe5\x85\xa5\xe7\xad\x89\xe3\x81\xab\xe3\x82\x88\xe3\x82\x8b\xe6\x8e\x92\xe5\x87\xba\xe5\x89\x8a\xe6\xb8\x9b\xe3\x81\x8c\xe5\xae\x9f\xe7\x8f\xbe\xe3\x81\xa7\xe3\x81\x8d\xe3\x81\x9f\xe3\x80\x82
